bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
181-270,0,,,,,,,RF,BASE+arable,2018,9
271-365,0,,,,,,,RF,BASE+arable,2018,9
1-7,0,,,,,,,XGB,BASE+arable,2018,9
8-30,0,,,,,,,XGB,BASE+arable,2018,9
31-90,0,,,,,,,XGB,BASE+arable,2018,9
91-180,0,,,,,,,XGB,BASE+arable,2018,9
181-270,0,,,,,,,XGB,BASE+arable,2018,9
271-365,0,,,,,,,XGB,BASE+arable,2018,9
1-7,0,,,,,,,LightGBM,BASE+arable,2018,9
8-30,0,,,,,,,LightGBM,BASE+arable,2018,9
31-90,0,,,,,,,LightGBM,BASE+arable,2018,9
91-180,0,,,,,,,LightGBM,BASE+arable,2018,9
181-270,0,,,,,,,LightGBM,BASE+arable,2018,9
271-365,0,,,,,,,LightGBM,BASE+arable,2018,9
1-7,0,,,,,,,SARIMAX,BASE+arable,2018,9
8-30,0,,,,,,,SARIMAX,BASE+arable,2018,9
31-90,0,,,,,,,SARIMAX,BASE+arable,2018,9
91-180,0,,,,,,,SARIMAX,BASE+arable,2018,9
181-270,0,,,,,,,SARIMAX,BASE+arable,2018,9
271-365,0,,,,,,,SARIMAX,BASE+arable,2018,9
1-7,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
8-30,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
31-90,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
91-180,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
181-270,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
271-365,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,9
1-7,6,-3.144,19.978,19.73,0.5369,1.0857,0.971,RF,BASE+flow,2018,2
8-30,21,-0.197,11.464,10.919,0.2344,1.1726,0.071,RF,BASE+flow,2018,2
31-90,32,-1.344,19.687,16.463,0.3619,1.4176,-0.216,RF,BASE+flow,2018,2
91-180,43,-0.741,30.131,23.086,0.3755,1.4569,0.185,RF,BASE+flow,2018,2
181-270,0,,,,,,,RF,BASE+flow,2018,2
271-365,0,,,,,,,RF,BASE+flow,2018,2
1-7,6,-3.589,21.023,20.5,0.5579,1.1281,0.91,XGB,BASE+flow,2018,2
8-30,21,0.147,9.679,8.817,0.1893,0.9468,0.579,XGB,BASE+flow,2018,2
31-90,32,-0.951,17.961,13.984,0.3075,1.2042,-0.176,XGB,BASE+flow,2018,2
91-180,43,-0.6,28.887,21.635,0.3519,1.3654,0.192,XGB,BASE+flow,2018,2
181-270,0,,,,,,,XGB,BASE+flow,2018,2
271-365,0,,,,,,,XGB,BASE+flow,2018,2
1-7,6,-2.23,17.637,16.61,0.452,0.9141,0.797,LightGBM,BASE+flow,2018,2
8-30,21,0.075,10.076,9.2,0.1975,0.988,0.459,LightGBM,BASE+flow,2018,2
31-90,32,-0.867,17.571,13.728,0.3018,1.1821,-0.192,LightGBM,BASE+flow,2018,2
