tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2022,TabPFN,1-7,0,,,,,,,,
2,2022,TabPFN,181-270,0,,,,,,,,
2,2022,TabPFN,271-365,0,,,,,,,,
2,2022,TabPFN,31-90,0,,,,,,,,
2,2022,TabPFN,8-30,0,,,,,,,,
2,2022,TabPFN,91-180,0,,,,,,,,
2,2022,XGB,1-7,0,,,,,,,,
2,2022,XGB,181-270,0,,,,,,,,
2,2022,XGB,271-365,0,,,,,,,,
2,2022,XGB,31-90,0,,,,,,,,
2,2022,XGB,8-30,0,,,,,,,,
2,2022,XGB,91-180,0,,,,,,,,
4,2018,DLinear,1-7,1,,,,,,,,
4,2018,DLinear,181-270,72,-0.505,97.793,76.008,1.0879,0.057,1.2441,1.2654,1.1724
4,2018,DLinear,271-365,67,-0.806,83.292,54.741,1.7811,0.02,1.7982,1.8172,1.7497
4,2018,DLinear,31-90,33,-6.309,43.346,36.518,2.9933,-0.497,2.2233,2.2703,3.3924
4,2018,DLinear,8-30,7,-16.532,35.774,30.765,4.3992,-0.391,2.028,1.8749,4.2478
4,2018,DLinear,91-180,83,-12.949,71.638,56.989,4.6125,-0.075,3.1271,1.7158,1.8661
4,2018,Ensemble_MASEweighted,1-7,1,,,,,,,,
4,2018,Ensemble_MASEweighted,181-270,72,0.122,74.689,57.394,0.8215,0.35,0.9394,0.9555,0.8853
4,2018,Ensemble_MASEweighted,271-365,67,0.011,61.646,34.085,1.109,0.169,1.1197,1.1315,1.0894
4,2018,Ensemble_MASEweighted,31-90,33,0.053,15.602,12.911,1.0583,0.402,0.7861,0.8027,1.1994
4,2018,Ensemble_MASEweighted,8-30,7,-0.672,11.047,10.498,1.5012,0.66,0.692,0.6398,1.4495
4,2018,Ensemble_MASEweighted,91-180,83,-0.576,24.082,18.17,1.4706,0.222,0.997,0.5471,0.595
4,2018,Ensemble_unweighted,1-7,1,,,,,,,,
4,2018,Ensemble_unweighted,181-270,72,0.122,74.682,57.457,0.8224,0.35,0.9404,0.9566,0.8863
4,2018,Ensemble_unweighted,271-365,67,0.009,61.717,34.206,1.1129,0.166,1.1236,1.1355,1.0933
4,2018,Ensemble_unweighted,31-90,33,0.052,15.615,12.953,1.0617,0.405,0.7886,0.8053,1.2033
4,2018,Ensemble_unweighted,8-30,7,-0.689,11.103,10.557,1.5096,0.658,0.6959,0.6434,1.4576
4,2018,Ensemble_unweighted,91-180,83,-0.582,24.129,18.24,1.4763,0.222,1.0009,0.5492,0.5973
4,2018,LSTM,1-7,1,,,,,,,,
4,2018,LSTM,181-270,72,-0.347,92.51,62.873,0.8999,0.108,1.0291,1.0467,0.9698
4,2018,LSTM,271-365,67,-0.097,64.917,28.309,0.9211,0.143,0.9299,0.9398,0.9048
4,2018,LSTM,31-90,33,-0.852,21.819,14.695,1.2045,-0.285,0.8947,0.9136,1.3652
4,2018,LSTM,8-30,7,-0.966,11.979,9.729,1.3912,-0.61,0.6413,0.5929,1.3433
4,2018,LSTM,91-180,83,-1.342,29.351,21.598,1.748,0.204,1.1851,0.6503,0.7072
4,2018,LightGBM,1-7,1,,,,,,,,
4,2018,LightGBM,181-270,72,0.129,74.379,55.103,0.7887,0.376,0.9019,0.9174,0.85
4,2018,LightGBM,271-365,67,0.059,60.12,30.408,0.9894,0.262,0.9989,1.0094,0.9719
4,2018,LightGBM,31-90,33,0.088,15.309,11.496,0.9423,0.323,0.6999,0.7147,1.068
4,2018,LightGBM,8-30,7,-0.453,10.297,9.643,1.3789,0.618,0.6357,0.5877,1.3315
4,2018,LightGBM,91-180,83,-0.508,23.556,16.737,1.3546,0.183,0.9184,0.5039,0.548
4,2018,RF,1-7,1,,,,,,,,
4,2018,RF,181-270,72,0.149,73.553,55.814,0.7989,0.391,0.9135,0.9292,0.861
4,2018,RF,271-365,67,-0.048,63.463,37.022,1.2046,0.065,1.2161,1.229,1.1833
4,2018,RF,31-90,33,0.045,15.667,13.789,1.1302,0.533,0.8395,0.8572,1.2809
