bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
181-270,61,0.599,22.954,15.967,0.5668,0.5676,0.779,LightGBM,2019,4,B_resample
271-365,66,0.111,49.75,20.413,0.7719,0.7735,0.396,LightGBM,2019,4,B_resample
1-7,0,,,,,,,SARIMAX,2019,4,B_resample
8-30,8,-0.998,46.84,36.723,0.9603,0.9594,0.785,SARIMAX,2019,4,B_resample
31-90,32,-0.603,28.379,23.57,1.0771,1.0791,-0.278,SARIMAX,2019,4,B_resample
91-180,62,0.21,77.847,51.184,0.6731,0.6737,0.474,SARIMAX,2019,4,B_resample
181-270,61,0.43,27.36,22.223,0.7889,0.79,0.771,SARIMAX,2019,4,B_resample
271-365,66,0.094,50.218,26.486,1.0016,1.0036,0.424,SARIMAX,2019,4,B_resample
1-7,0,,,,,,,Ensemble_unweighted,2019,4,B_resample
8-30,8,-1.713,54.571,42.997,1.1244,1.1233,-0.386,Ensemble_unweighted,2019,4,B_resample
31-90,32,-0.041,22.871,18.091,0.8267,0.8283,0.171,Ensemble_unweighted,2019,4,B_resample
91-180,62,0.194,78.642,48.521,0.6381,0.6387,0.467,Ensemble_unweighted,2019,4,B_resample
181-270,61,0.605,22.761,15.958,0.5665,0.5673,0.78,Ensemble_unweighted,2019,4,B_resample
271-365,66,0.134,49.108,20.522,0.776,0.7776,0.407,Ensemble_unweighted,2019,4,B_resample
