ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,Ensemble_unweighted,18.625135249221906
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,Ensemble_MASEweighted,18.637879207194906
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,RF,21.101886104858682
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,XGB,20.907592279617102
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,LightGBM,21.24678690775111
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,Ensemble_unweighted,20.994632606487656
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,Ensemble_MASEweighted,20.99719852058886
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,RF,21.56917327155877
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,XGB,21.41906587261043
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,LightGBM,22.03882129587904
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,Ensemble_unweighted,22.443678681298643
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,Ensemble_MASEweighted,22.416941538051134
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,RF,20.087751509057547
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,XGB,19.00144546456533
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,LightGBM,19.063310229627692
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,Ensemble_unweighted,18.712345796387925
