bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
181-270,90,-3.282,117.141,100.096,1.2535,1.0474,0.149,gapfilled,DLinear,BASE+species,2018,9
271-365,95,-9.999,90.941,78.187,4.0775,2.638,0.157,gapfilled,DLinear,BASE+species,2018,9
1-7,0,,,,,,,observed,LSTM,BASE+species,2018,9
8-30,0,,,,,,,observed,LSTM,BASE+species,2018,9
31-90,0,,,,,,,observed,LSTM,BASE+species,2018,9
91-180,0,,,,,,,observed,LSTM,BASE+species,2018,9
181-270,0,,,,,,,observed,LSTM,BASE+species,2018,9
271-365,0,,,,,,,observed,LSTM,BASE+species,2018,9
1-7,7,0.028,56.909,30.888,1.0855,0.6794,0.701,gapfilled,LSTM,BASE+species,2018,9
8-30,23,-0.095,48.248,25.801,1.3613,0.8454,0.558,gapfilled,LSTM,BASE+species,2018,9
31-90,60,-0.768,57.87,35.271,1.4368,0.953,-0.328,gapfilled,LSTM,BASE+species,2018,9
91-180,90,-1.332,17.018,12.526,1.6667,0.8208,0.018,gapfilled,LSTM,BASE+species,2018,9
181-270,90,-2.373,103.959,85.749,1.0739,0.8972,-0.434,gapfilled,LSTM,BASE+species,2018,9
271-365,95,-0.238,30.507,19.739,1.0294,0.666,0.208,gapfilled,LSTM,BASE+species,2018,9
1-7,6,-2.157,17.437,16.941,0.461,0.9323,0.941,observed,TFT,BASE+arable,2018,2
8-30,21,-2.755,20.307,18.244,0.3917,1.9592,0.568,observed,TFT,BASE+arable,2018,2
31-90,32,-0.327,14.812,10.714,0.2356,0.9226,0.23,observed,TFT,BASE+arable,2018,2
91-180,43,-2.165,40.628,29.689,0.4829,1.8737,-0.262,observed,TFT,BASE+arable,2018,2
181-270,0,,,,,,,observed,TFT,BASE+arable,2018,2
271-365,0,,,,,,,observed,TFT,BASE+arable,2018,2
1-7,7,-1.671,41.677,32.744,1.0728,0.9832,0.083,gapfilled,TFT,BASE+arable,2018,2
8-30,23,-5.089,19.321,17.308,0.3736,1.9627,0.585,gapfilled,TFT,BASE+arable,2018,2
31-90,60,-0.936,30.745,22.853,0.6572,0.9058,0.213,gapfilled,TFT,BASE+arable,2018,2
91-180,90,-14.139,34.888,26.389,0.531,3.3502,-0.349,gapfilled,TFT,BASE+arable,2018,2
181-270,90,-26.497,25.256,22.829,0.4407,4.6914,-0.018,gapfilled,TFT,BASE+arable,2018,2
271-365,95,-5.447,26.624,24.699,0.5465,2.417,-0.527,gapfilled,TFT,BASE+arable,2018,2
1-7,6,-9.146,31.259,27.483,0.7479,1.5124,0.187,observed,DLinear,BASE+arable,2018,2
8-30,21,-21.908,50.157,44.4,0.9532,4.7681,0.406,observed,DLinear,BASE+arable,2018,2
31-90,32,-4.185,29.281,21.943,0.4824,1.8896,0.278,observed,DLinear,BASE+arable,2018,2
91-180,43,-1.479,35.959,30.109,0.4897,1.9001,-0.089,observed,DLinear,BASE+arable,2018,2
181-270,0,,,,,,,observed,DLinear,BASE+arable,2018,2
271-365,0,,,,,,,observed,DLinear,BASE+arable,2018,2
1-7,7,-0.067,26.335,21.76,0.713,0.6534,0.472,gapfilled,DLinear,BASE+arable,2018,2
8-30,23,-41.421,50.999,45.096,0.9734,5.114,0.493,gapfilled,DLinear,BASE+arable,2018,2
31-90,60,-2.579,41.796,33.344,0.9589,1.3217,-0.238,gapfilled,DLinear,BASE+arable,2018,2
91-180,90,-5.279,22.469,17.926,0.3607,2.2758,-0.218,gapfilled,DLinear,BASE+arable,2018,2
181-270,90,-203846443117.347,2174512.991,810675.889,15650.8916,166596.3805,0.154,gapfilled,DLinear,BASE+arable,2018,2
271-365,95,-826037041736.865,9530168.305,9507936.018,210383.1217,930405.6034,0.232,gapfilled,DLinear,BASE+arable,2018,2
1-7,6,-6.629,27.105,22.532,0.6132,1.2399,0.855,observed,LSTM,BASE+arable,2018,2
8-30,21,-7.232,30.067,24.705,0.5304,2.6531,0.67,observed,LSTM,BASE+arable,2018,2
31-90,32,-5.01,31.526,26.395,0.5803,2.2729,0.555,observed,LSTM,BASE+arable,2018,2
91-180,43,-2.698,43.921,36.901,0.6002,2.3288,-0.145,observed,LSTM,BASE+arable,2018,2
181-270,0,,,,,,,observed,LSTM,BASE+arable,2018,2
271-365,0,,,,,,,observed,LSTM,BASE+arable,2018,2
1-7,7,-1.385,39.378,33.865,1.1096,1.0169,-0.004,gapfilled,LSTM,BASE+arable,2018,2
8-30,23,-14.045,30.371,24.977,0.5391,2.8324,0.697,gapfilled,LSTM,BASE+arable,2018,2
31-90,60,-2.58,41.805,34.934,1.0046,1.3847,-0.415,gapfilled,LSTM,BASE+arable,2018,2
91-180,90,-14.697,35.525,31.091,0.6256,3.9473,-0.164,gapfilled,LSTM,BASE+arable,2018,2
181-270,90,-92.861,46.661,43.35,0.8369,8.9085,-0.098,gapfilled,LSTM,BASE+arable,2018,2
271-365,95,-1.213,15.6,14.398,0.3186,1.409,0.325,gapfilled,LSTM,BASE+arable,2018,2
1-7,1,,,,,,,observed,TFT,BASE+arable,2018,4
8-30,7,-8.388,26.178,18.271,1.2044,2.6126,-0.697,observed,TFT,BASE+arable,2018,4
31-90,33,-0.998,22.665,16.118,0.9813,1.3212,-0.214,observed,TFT,BASE+arable,2018,4
91-180,83,-0.462,23.193,18.369,1.0079,1.4867,0.214,observed,TFT,BASE+arable,2018,4
181-270,72,-0.191,87.005,57.972,0.9489,0.8298,0.196,observed,TFT,BASE+arable,2018,4
